ZD_deg,Etrue_min_TeV,Etrue_max_TeV,Aeff_m2,emig_mu_loc,emig_mu_scale,emig_mu_a,emig_model
20.0,28.183829312644722,31.62277660168402,9609489.938207468,-0.07621148848139983,0.12356239006449095,0.8951076707281677,skewnorm
20.0,31.62277660168402,35.481338923357825,10609247.966561291,-0.07883000427036368,0.07165475187316987,,moyal
20.0,35.481338923357825,39.81071705535002,11571736.78424084,-0.08308519850078938,0.07389349869887533,,moyal
30.0,0.01,0.011220184543019636,0.0,0.0,0.2,,moyal
30.0,0.011220184543019636,0.012589254117941675,0.0,0.0,0.2,,moyal
30.0,0.012589254117941675,0.014125375446227547,0.0,0.0,0.2,,moyal
30.0,0.014125375446227547,0.01584893192461114,0.0,0.0,0.2,,moyal
30.0,0.01584893192461114,0.017782794100389236,0.0,0.0,0.2,,moyal
30.0,0.017782794100389236,0.01995262314968881,0.0,0.0,0.2,,moyal
30.0,0.01995262314968881,0.022387211385683413,0.0,0.0,0.2,,moyal
30.0,0.022387211385683413,0.025118864315095822,0.0,0.0,0.2,,moyal
30.0,0.025118864315095822,0.028183829312644564,0.0,0.0,0.2,,moyal
30.0,0.028183829312644564,0.031622776601683826,0.0,0.0,0.2,,moyal
30.0,0.031622776601683826,0.035481338923357586,0.0,0.0,0.2,,moyal
30.0,0.035481338923357586,0.039810717055349776,0.0,0.0,0.2,,moyal
30.0,0.039810717055349776,0.04466835921509637,0.0,0.0,0.2,,moyal
30.0,0.04466835921509637,0.050118723362727303,0.0,0.0,0.2,,moyal
30.0,0.050118723362727303,0.056234132519034995,0.0,0.0,0.2,,moyal
30.0,0.056234132519034995,0.06309573444801943,0.0,0.0,0.2,,moyal
30.0,0.06309573444801943,0.07079457843841391,0.0,0.0,0.2,,moyal
30.0,0.07079457843841391,0.07943282347242829,0.0,0.0,0.2,,moyal
30.0,0.07943282347242829,0.08912509381337473,0.0,0.0,0.2,,moyal
30.0,0.08912509381337473,0.1000000000000002,0.0,0.0,0.2,,moyal
30.0,0.1000000000000002,0.11220184543019658,0.0,0.0,0.2,,moyal
30.0,0.11220184543019658,0.125892541179417,0.0,0.0,0.2,,moyal
30.0,0.125892541179417,0.14125375446227575,0.0,0.0,0.2,,moyal
30.0,0.14125375446227575,0.15848931924611173,0.0,0.0,0.2,,moyal
30.0,0.15848931924611173,0.17782794100389274,0.0,0.0,0.2,,moyal
30.0,0.17782794100389274,0.1995262314968885,0.0,0.0,0.2,,moyal
30.0,0.1995262314968885,0.2238721138568346,0.0,0.0,0.2,,moyal
30.0,0.2238721138568346,0.25118864315095873,0.0,0.0,0.2,,moyal
30.0,0.25118864315095873,0.2818382931264462,0.0,0.0,0.2,,moyal
30.0,0.2818382931264462,0.3162277660168389,0.0,0.0,0.2,,moyal
30.0,0.3162277660168389,0.3548133892335766,18.380540482607934,0.0,0.2,,moyal
30.0,0.3548133892335766,0.39810717055349853,20.623305621530452,0.0,0.2,,moyal
30.0,0.39810717055349853,0.44668359215096465,23.139729496066536,0.0,0.2,,moyal
30.0,0.44668359215096465,0.501187233627274,0.0,0.0,0.2,,moyal
30.0,0.501187233627274,0.5623413251903511,203.91835439248888,0.0,0.2,,moyal
30.0,0.5623413251903511,0.6309573444801956,326.85736685608583,0.0,0.2,,moyal
30.0,0.6309573444801956,0.7079457843841406,1356.9379908871806,0.38545161740578315,0.3866408427571421,2.7390115587159176,skewnorm
30.0,0.7079457843841406,0.7943282347242846,3168.465647787866,0.3372244255787805,0.9382674805313979,6.131900980372722,skewnorm
